01s,06s,12s,03s
0-avg,0-avg,0-avg,0-avg
14-avg,7-avg,244-avg,11-avg
6-avg,11-avg,11-avg,19-avg
7-avg,28-avg,26-avg,49-avg
3-avg,3-avg,32-avg,83-avg
11-avg,10-avg,3-avg,28-avg
1-avg,37-avg,6-avg,10-avg
10-avg,5-avg,7-avg,7-avg
5-avg,1-avg,10-avg,15-avg
15-avg,31-avg,15-avg,12-avg
39-avg,12-avg,19-avg,3-avg
12-avg,6-avg,30-avg,26-avg
85-avg,49-avg,15-range,31-avg
37-avg,70-avg,266-range,56-avg
4-avg,30-avg,5-avg,263-avg
31-avg,50-avg,28-avg,154-avg
2-avg,229-avg,37-avg,5-avg
28-avg,148-avg,51-avg,6-avg
13-avg,39-avg,83-avg,48-avg
19-avg,86-avg,86-avg,117-avg
35-avg,147-avg,101-avg,51-avg
33-avg,25-avg,138-avg,244-avg
56-avg,58-avg,151-avg,4-avg
58-avg,15-avg,195-avg,17-avg
59-avg,61-avg,105-std,73-avg
148-avg,83-avg,232-std,144-avg
147-avg,244-avg,22-avg,148-avg
51-avg,117-avg,24-avg,9-avg
88-avg,282-avg,38-avg,147-avg
117-avg,24-avg,47-avg,50-avg
24-avg,85-avg,49-avg,105-avg
25-avg,187-avg,74-avg,233-avg
61-avg,51-avg,85-avg,21-avg
96-avg,297-avg,96-avg,36-avg
16-avg,23-avg,122-avg,110-avg
55-avg,26-avg,180-avg,112-avg
40-avg,48-avg,246-avg,8-avg
133-avg,56-avg,251-avg,39-avg
30-avg,74-avg,266-avg,43-avg
41-avg,90-avg,286-avg,134-avg
65-avg,232-avg,82-range,151-avg
90-avg,8-avg,290-range,23-avg
74-avg,19-avg,1-avg,27-avg
48-avg,40-avg,4-avg,261-avg
57-avg,43-avg,8-avg,264-avg
77-avg,57-avg,12-avg,18-avg
204-avg,84-avg,16-avg,57-avg
49-avg,89-avg,18-avg,79-avg
157-avg,96-avg,21-avg,232-avg
9-avg,143-avg,31-avg,37-avg
36-avg,204-avg,45-avg,70-avg
83-avg,291-avg,48-avg,80-avg
27-avg,36-avg,52-avg,173-avg
44-avg,55-avg,53-avg,30-avg
70-avg,154-avg,57-avg,47-avg
73-avg,159-avg,65-avg,1-avg
82-avg,185-avg,73-avg,24-avg
185-avg,207-avg,98-avg,41-avg
26-avg,236-avg,104-avg,99-avg
79-avg,264-avg,110-avg,171-avg
8-avg,18-avg,112-avg,207-avg
38-avg,35-avg,117-avg,245-avg
199-avg,233-avg,119-avg,116-avg
244-avg,258-avg,134-avg,122-avg
54-avg,263-avg,136-avg,152-avg
89-avg,127-avg,147-avg,243-avg
209-avg,131-avg,154-avg,282-avg
21-avg,149-avg,157-avg,100-avg
50-avg,73-avg,159-avg,215-avg
52-avg,120-avg,160-avg,236-avg
105-avg,181-avg,169-avg,291-avg
126-avg,216-avg,173-avg,14-avg
92-avg,33-avg,174-avg,53-avg
102-avg,76-avg,217-avg,55-avg
151-avg,182-avg,221-avg,76-avg
154-avg,245-avg,230-avg,125-avg
161-avg,277-avg,232-avg,126-avg
269-avg,298-avg,245-avg,137-avg
34-avg,14-avg,256-avg,159-avg
91-avg,21-avg,260-avg,180-avg
68-avg,41-avg,263-avg,189-avg
158-avg,160-avg,279-avg,231-avg
159-avg,262-avg,282-avg,266-avg
120-avg,13-avg,299-avg,272-avg
122-avg,27-avg,29-std,298-avg
229-avg,78-avg,36-std,54-avg
282-avg,88-avg,39-std,86-avg
23-avg,128-avg,55-std,88-avg
112-avg,136-avg,249-std,121-avg
128-avg,139-avg,252-std,157-avg
18-avg,140-avg,5-range,258-avg
47-avg,151-avg,238-range,295-avg
62-avg,168-avg,192-slope,20-avg
78-avg,231-avg,2-avg,74-avg
119-avg,260-avg,9-avg,77-avg
127-avg,266-avg,13-avg,89-avg
20-avg,20-avg,14-avg,90-avg
121-avg,47-avg,17-avg,91-avg
139-avg,79-avg,23-avg,115-avg
149-avg,105-avg,25-avg,136-avg
97-avg,106-avg,27-avg,161-avg
43-avg,110-avg,29-avg,169-avg
132-avg,113-avg,35-avg,204-avg
150-avg,178-avg,36-avg,286-avg
232-avg,180-avg,39-avg,16-avg
60-avg,241-avg,40-avg,25-avg
104-avg,278-avg,41-avg,59-avg
136-avg,137-avg,42-avg,95-avg
190-avg,150-avg,43-avg,185-avg
207-avg,217-avg,50-avg,85-avg
187-avg,65-avg,54-avg,102-avg
53-avg,77-avg,55-avg,174-avg
84-avg,91-avg,56-avg,216-avg
114-avg,99-avg,58-avg,224-avg
142-avg,130-avg,59-avg,44-avg
217-avg,158-avg,67-avg,61-avg
231-avg,189-avg,70-avg,65-avg
293-avg,272-avg,71-avg,135-avg
116-avg,280-avg,75-avg,138-avg
143-avg,283-avg,77-avg,141-avg
297-avg,290-avg,79-avg,150-avg
46-avg,44-avg,80-avg,191-avg
76-avg,54-avg,81-avg,209-avg
108-avg,59-avg,82-avg,217-avg
131-avg,112-avg,89-avg,278-avg
137-avg,132-avg,92-avg,284-avg
144-avg,138-avg,94-avg,78-avg
173-avg,254-avg,95-avg,94-avg
192-avg,275-avg,107-avg,195-avg
113-avg,53-avg,114-avg,230-avg
160-avg,67-avg,116-avg,2-avg
86-avg,122-avg,118-avg,35-avg
103-avg,146-avg,120-avg,40-avg
177-avg,175-avg,129-avg,58-avg
221-avg,213-avg,130-avg,84-avg
32-avg,284-avg,133-avg,129-avg
226-avg,4-avg,137-avg,132-avg
257-avg,46-avg,140-avg,140-avg
72-avg,66-avg,142-avg,145-avg
101-avg,82-avg,146-avg,160-avg
169-avg,102-avg,148-avg,203-avg
218-avg,116-avg,149-avg,260-avg
248-avg,119-avg,150-avg,294-avg
258-avg,169-avg,152-avg,45-avg
298-avg,203-avg,153-avg,52-avg
100-avg,211-avg,156-avg,96-avg
140-avg,2-avg,166-avg,106-avg
181-avg,9-avg,170-avg,113-avg
235-avg,17-avg,172-avg,133-avg
255-avg,34-avg,178-avg,142-avg
285-avg,92-avg,179-avg,143-avg
291-avg,100-avg,185-avg,146-avg
171-avg,104-avg,187-avg,192-avg
203-avg,111-avg,188-avg,222-avg
241-avg,133-avg,190-avg,229-avg
17-avg,155-avg,192-avg,257-avg
111-avg,190-avg,193-avg,259-avg
262-avg,195-avg,204-avg,269-avg
206-avg,212-avg,207-avg,279-avg
245-avg,242-avg,209-avg,280-avg
284-avg,251-avg,214-avg,107-slope
296-avg,255-avg,216-avg,29-avg
94-avg,75-avg,220-avg,82-avg
99-avg,80-avg,223-avg,127-avg
107-avg,109-avg,225-avg,155-avg
179-avg,126-avg,228-avg,67-avg
191-avg,157-avg,233-avg,75-avg
219-avg,176-avg,235-avg,81-avg
213-avg,192-avg,238-avg,101-avg
250-avg,246-avg,254-avg,111-avg
260-avg,279-avg,258-avg,128-avg
263-avg,95-avg,261-avg,175-avg
264-avg,134-avg,264-avg,178-avg
64-avg,142-avg,268-avg,179-avg
118-avg,153-avg,269-avg,183-avg
145-avg,162-avg,278-avg,205-avg
194-avg,177-avg,284-avg,254-avg
216-avg,186-avg,287-avg,270-avg
286-avg,209-avg,291-avg,299-avg
42-avg,238-avg,292-avg,158-avg
71-avg,240-avg,293-avg,172-avg
80-avg,257-avg,296-avg,187-avg
98-avg,261-avg,4-std,190-avg
123-avg,292-avg,5-std,242-avg
220-avg,52-avg,15-std,252-avg
256-avg,71-avg,19-std,256-avg
280-avg,94-avg,23-std,262-avg
22-avg,152-avg,26-std,285-avg
29-avg,161-avg,30-std,293-avg
95-avg,173-avg,34-std,19-range
110-avg,191-avg,49-std,162-range
138-avg,201-avg,64-std,22-avg
168-avg,210-avg,65-std,34-avg
239-avg,221-avg,70-std,72-avg
252-avg,243-avg,93-std,98-avg
272-avg,256-avg,95-std,120-avg
299-avg,269-avg,101-std,123-avg
125-avg,273-avg,130-std,199-avg
134-avg,285-avg,141-std,218-avg
163-avg,293-avg,144-std,283-avg
180-avg,299-avg,149-std,13-range
242-avg,248-std,164-std,93-avg
247-avg,94-range,177-std,97-avg
251-avg,249-range,193-std,139-avg
254-avg,32-avg,205-std,153-avg
67-avg,42-avg,208-std,193-avg
135-avg,114-avg,220-std,223-avg
174-avg,166-avg,223-std,227-avg
175-avg,235-avg,238-std,228-avg
222-avg,296-avg,242-std,234-avg
237-avg,74-range,248-std,235-avg
249-avg,16-avg,250-std,238-avg
146-avg,29-avg,254-std,246-avg
153-avg,64-avg,287-std,290-avg
186-avg,68-avg,1-range,297-avg
195-avg,81-avg,6-range,64-range
243-avg,87-avg,11-range,37-slope
271-avg,97-avg,26-range,13-avg
276-avg,123-avg,44-range,32-avg
292-avg,144-avg,54-range,63-avg
63-avg,145-avg,59-range,87-avg
75-avg,156-avg,70-range,109-avg
172-avg,172-avg,88-range,131-avg
176-avg,174-avg,95-range,181-avg
182-avg,184-avg,96-range,248-avg
183-avg,193-avg,97-range,277-avg
193-avg,197-avg,119-range,38-avg
277-avg,199-avg,136-range,149-avg
45-avg,224-avg,137-range,168-avg
69-avg,237-avg,165-range,177-avg
93-avg,247-avg,167-range,241-avg
124-avg,22-avg,176-range,267-avg
156-avg,38-avg,179-range,275-avg
162-avg,93-avg,181-range,69-range
166-avg,108-avg,183-range,33-avg
208-avg,125-avg,193-range,42-avg
214-avg,135-avg,197-range,46-avg
275-avg,164-avg,208-range,66-avg
81-avg,170-avg,216-range,130-avg
141-avg,222-avg,224-range,184-avg
215-avg,227-avg,232-range,210-avg
278-avg,276-avg,242-range,214-avg
178-avg,288-avg,282-range,221-avg
188-avg,295-avg,288-range,240-avg
266-avg,5-range,289-range,268-avg
87-avg,6-range,297-range,281-avg
115-avg,39-range,298-range,288-avg
167-avg,50-range,3-slope,292-avg
233-avg,163-range,32-slope,249-std
238-avg,182-range,54-slope,299-slope
261-avg,60-avg,55-slope,103-avg
196-avg,63-avg,126-slope,104-avg
228-avg,103-avg,170-slope,124-avg
267-avg,118-avg,185-slope,156-avg
283-avg,167-avg,261-slope,166-avg
288-avg,200-avg,299-slope,182-avg
290-avg,208-avg,20-avg,197-avg
