01s,06s,12s,03s
1y-avg,5c-avg,1y-avg,18c-range
0y-avg,1y-std,5y-avg,18c-avg
2y-avg,0x-avg,16y-avg,0x-avg
17c-avg,1c-avg,18y-avg,16x-avg
2x-avg,0c-avg,0y-avg,18y-avg
0x-avg,1y-range,18c-avg,15c-avg
5y-avg,1y-avg,17x-std,16c-avg
17y-avg,5x-avg,1c-std,17y-avg
1c-avg,5y-avg,5x-avg,17c-avg
5c-avg,1x-avg,5c-avg,2x-std
17x-avg,5x-range,1c-avg,1c-avg
16y-avg,18c-avg,18x-avg,6y-avg
16x-avg,16c-avg,2x-std,18x-avg
0c-avg,18y-avg,16c-std,5x-std
2c-avg,1c-std,3c-range,13x-range
15c-avg,15c-avg,5y-range,19y-range
18c-avg,2y-range,hand_flag-avg,0c-avg
16c-avg,5y-std,2x-avg,2y-avg
1x-avg,5c-std,3y-avg,17x-avg
6x-avg,2x-avg,15c-avg,3c-range
17x-range,5y-range,3x-std,1y-avg
23x-range,1c-range,6y-std,16y-avg
15y-avg,2y-avg,15c-std,4x-std
15c-range,15c-std,20x-std,2y-range
18y-avg,0y-avg,2y-range,21y-range
1c-std,1x-std,0c-slope,4c-avg
2c-range,2c-std,3x-slope,5c-avg
18x-range,17x-avg,2y-avg,0x-std
18x-avg,16y-std,2c-avg,1x-std
17c-std,18y-std,6c-avg,3x-std
5y-range,1x-range,10c-avg,4y-std
5x-avg,18c-range,15x-avg,10y-std
0c-range,16x-avg,16x-avg,15c-std
18y-range,16y-avg,17x-avg,11y-range
3c-avg,18c-std,17c-avg,17y-range
6y-avg,15x-avg,21c-avg,17c-slope
2y-std,18x-avg,hand_flag-std,hand_flag-avg
18y-std,5x-std,1x-std,3y-avg
1y-range,17x-std,2c-std,6x-avg
3y-avg,17c-avg,8c-std,6c-avg
6c-avg,17c-std,12x-std,15x-avg
11c-std,2c-avg,16x-std,3c-std
3x-avg,15y-avg,17y-std,7x-std
15x-avg,16x-std,17c-std,17x-std
5c-std,16c-std,18c-std,20x-std
15c-std,21c-range,5x-range,23x-std
8x-range,3c-avg,6x-range,15c-range
15y-range,17y-avg,15c-range,19c-range
hand_flag-avg,0x-range,16x-range,2x-avg
7x-avg,7x-range,18y-range,2c-avg
2c-std,16x-range,2c-slope,3x-avg
18x-std,0y-std,5c-slope,3c-avg
18c-std,17c-range,17y-slope,4x-avg
0x-range,2y-std,18x-slope,5x-avg
1c-range,17c-slope,0x-avg,8x-avg
5c-range,hand_flag-avg,0c-avg,15y-avg
8y-range,0x-std,1x-avg,hand_flag-std
