01s,06s,12s,03s
 pose_Tx-avg, pose_Ry-avg, pose_Ry-avg, pose_Tx-avg
 pose_Ry-avg, pose_Tx-avg, pose_Tz-avg, pose_Ty-avg
 pose_Tz-avg, pose_Tz-avg, pose_Ty-avg, pose_Rz-avg
 pose_Rz-avg, pose_Ty-avg, pose_Tx-avg, pose_Tz-avg
 pose_Ty-avg, pose_Rz-avg, pose_Rx-avg, pose_Ry-avg
 pose_Rx-avg, pose_Rx-avg, pose_Rz-avg, pose_Rx-avg
 pose_Rx-range, pose_Ry-std, pose_Rx-std, pose_Tz-range
 pose_Rx-std, pose_Tz-std, pose_Rz-std, pose_Ty-range
 pose_Rz-std, pose_Tx-range, pose_Ty-range, pose_Ty-std
 pose_Ry-std, pose_Rx-std, pose_Tz-range, pose_Rz-range
 pose_Rz-range, pose_Ry-range, pose_Tx-std, pose_Tx-std
 pose_Ty-std, pose_Ty-std, pose_Tx-range, pose_Tz-std
