01s,06s,12s,03s
 AU01_r-avg, AU01_r-avg, AU01_r-avg, AU01_r-avg
 AU05_r-avg, AU05_r-avg, AU04_c-avg, AU05_r-avg
 AU02_r-avg, AU04_r-avg, AU09_r-range, AU20_r-avg
 AU04_r-avg, AU25_r-avg, AU45_r-range, AU04_r-avg
 AU12_r-avg, AU20_c-avg, AU20_r-avg, AU45_r-avg
 AU25_r-avg, AU20_r-avg, AU25_r-std, AU07_r-avg
 AU20_r-avg, AU45_r-avg, AU05_r-avg, AU20_c-avg
 AU06_r-avg, AU07_r-avg, AU10_r-avg, AU02_r-avg
 AU15_r-avg, AU12_r-avg, AU02_r-avg, AU09_r-avg
 AU10_r-avg, AU15_r-avg, AU04_r-avg, AU25_r-avg
 AU02_c-avg, AU02_r-avg, AU12_r-avg, AU25_c-avg
 AU25_c-avg, AU02_c-avg, AU25_r-avg, AU26_r-range
 AU07_r-avg, AU04_c-avg, AU45_r-avg, AU05_r-range
 AU09_r-avg, AU45_r-range, AU05_r-range, AU15_r-range
 AU17_r-avg, AU07_c-avg, AU12_r-range, AU15_r-avg
 AU26_r-avg, AU25_c-avg, AU23_r-range, AU01_c-avg
 AU05_c-avg, AU09_r-avg, AU26_r-range, AU14_r-range
 AU28_c-avg, AU45_c-avg, AU14_c-avg, AU45_r-range
 AU45_r-avg, AU28_c-avg, AU25_c-avg, AU04_c-avg
 AU20_c-avg, AU05_c-avg, AU28_c-avg, AU10_r-range
 AU04_r-std, AU14_r-avg, AU04_r-std, AU12_r-avg
 AU06_r-range, AU01_c-avg, AU09_r-std, AU14_r-avg
 AU14_c-avg, AU14_c-avg, AU25_r-range, AU17_r-avg
 AU15_c-avg, AU26_c-avg, AU07_r-avg, AU25_r-std
 AU45_c-avg, AU05_r-range, AU14_r-avg, AU01_r-range
 AU23_r-avg, AU06_c-avg, AU15_r-avg, AU07_r-range
 AU04_c-avg, AU15_c-avg, AU15_c-avg, AU14_c-avg
 AU15_r-range, AU09_r-std, AU45_c-avg, AU15_c-avg
 AU14_r-avg, AU20_r-range, AU01_r-std, AU06_r-range
 AU01_c-avg, AU07_r-std, AU09_r-avg, AU07_c-avg
 AU23_c-avg, AU25_r-std, AU01_c-avg, AU23_c-avg
 AU26_c-avg, AU10_r-avg, AU20_c-avg, AU20_r-range
 AU05_r-std, AU17_r-avg, AU05_r-std, AU23_r-avg
 AU20_c-std, AU26_r-avg, AU04_r-range, AU28_c-avg
 AU09_c-avg, AU23_c-avg, AU17_r-avg, AU23_r-range
 AU10_c-avg, AU02_r-std, AU07_c-avg, AU25_r-range
 AU01_r-std, AU04_r-std, AU17_c-avg, AU10_r-avg
 AU02_r-std, AU05_r-std, AU07_r-range, AU26_c-avg
 AU15_r-std, AU14_r-range, AU15_r-range, AU45_c-avg
 AU23_r-std, AU01_r-std, AU17_r-range, AU26_r-std
 AU45_r-std, AU12_r-std, AU20_r-range, AU28_c-std
 AU06_c-avg, AU01_r-range, AU06_r-range, AU02_r-range
 AU17_c-avg, AU09_r-range, AU14_r-range, AU12_r-range
 AU07_r-std, AU10_c-avg, AU23_r-avg, AU06_r-avg
 AU17_r-std, AU04_r-range, AU26_r-avg, AU06_c-avg
 AU04_r-range, AU07_r-range, AU02_r-std, AU10_c-avg
 AU25_r-range, AU26_r-range, AU07_r-std, AU05_r-std
 AU45_r-range, AU09_c-avg, AU12_r-std, AU04_r-range
 AU07_c-avg, AU17_c-avg, AU14_r-std, AU26_r-avg
 AU20_r-std, AU23_r-std, AU15_r-std, AU04_r-std
 AU14_c-std, AU26_r-std, AU26_r-std, AU09_r-std
 AU07_r-range, AU10_r-range, AU02_r-range, AU02_c-avg
 AU14_r-std, AU25_r-range, AU02_c-avg, AU05_c-avg
 AU25_r-std, AU45_r-std, AU05_c-avg, AU02_r-std
 AU01_c-std, AU15_r-range, AU06_c-avg, AU10_r-std
 AU01_r-range, AU23_r-range, AU10_c-avg, AU15_r-std
 AU09_r-range, AU23_r-avg, AU26_c-avg, AU45_r-std
 AU10_r-range, AU12_c-avg, AU28_c-std, AU17_r-range
 AU12_r-range, AU06_r-std, AU09_c-avg, AU20_r-std
 AU14_r-range, AU15_r-std, AU23_c-avg, AU23_r-std
 AU20_r-range, AU06_r-avg, AU06_r-std, AU09_c-std
 AU06_r-slope, AU14_r-std, AU20_r-std, AU09_r-range
 AU12_c-avg, AU17_r-std, AU45_r-std, AU01_r-std
 AU06_r-std, AU06_r-range, AU07_c-std, AU14_r-std
 AU10_r-std, AU17_r-range, AU09_c-std, AU17_r-std
 AU12_r-std, AU01_c-std, AU20_c-std, AU15_c-std
 AU26_c-std, AU02_r-range, AU01_r-range, AU12_r-std
 AU05_r-range, AU12_r-range, AU06_r-avg, AU26_c-std
 AU17_r-range, AU06_r-slope, AU12_c-avg, AU09_c-avg
 AU23_r-range, AU05_c-std, AU10_r-std, AU12_c-avg
