01s,06s,12s,03s
0-avg,0-avg,0-avg,7-avg
15-avg,7-avg,7-avg,24-avg
7-avg,131-avg,15-avg,108-avg
6-avg,15-avg,39-range,15-avg
40-avg,122-avg,130-avg,234-avg
1-avg,277-avg,151-avg,281-avg
9-avg,17-avg,188-avg,19-avg
19-avg,39-avg,4-avg,39-avg
27-avg,54-avg,27-avg,43-avg
73-avg,4-avg,31-avg,172-avg
8-avg,16-avg,42-avg,178-avg
56-avg,19-avg,45-avg,205-avg
169-avg,24-avg,204-avg,18-std
5-avg,177-avg,18-std,0-avg
21-avg,259-avg,151-range,11-avg
31-avg,297-avg,39-avg,12-avg
48-avg,2-avg,40-avg,16-avg
79-avg,3-avg,54-avg,23-avg
130-avg,8-avg,59-avg,27-avg
131-avg,10-avg,97-avg,37-avg
133-avg,14-avg,102-avg,42-avg
263-avg,29-avg,114-avg,44-avg
3-avg,35-avg,131-avg,50-avg
14-avg,119-avg,137-avg,54-avg
23-avg,120-avg,143-avg,59-avg
41-avg,125-avg,149-avg,60-avg
45-avg,130-avg,181-avg,68-avg
46-avg,142-avg,199-avg,71-avg
76-avg,151-avg,243-avg,77-avg
84-avg,166-avg,259-avg,85-avg
111-avg,202-avg,274-avg,94-avg
207-avg,215-avg,2-avg,105-avg
252-avg,243-avg,6-avg,110-avg
273-avg,280-avg,12-avg,130-avg
225-range,1-avg,14-avg,131-avg
11-avg,6-avg,28-avg,134-avg
12-avg,9-avg,34-avg,137-avg
24-avg,11-avg,46-avg,147-avg
28-avg,21-avg,49-avg,150-avg
39-avg,26-avg,56-avg,151-avg
43-avg,28-avg,61-avg,165-avg
63-avg,32-avg,63-avg,166-avg
108-avg,36-avg,65-avg,179-avg
123-avg,42-avg,69-avg,184-avg
127-avg,43-avg,70-avg,194-avg
153-avg,46-avg,74-avg,195-avg
218-avg,49-avg,76-avg,202-avg
260-avg,51-avg,77-avg,203-avg
282-avg,73-avg,80-avg,210-avg
2-avg,84-avg,82-avg,217-avg
4-avg,88-avg,86-avg,226-avg
22-avg,89-avg,89-avg,231-avg
26-avg,94-avg,92-avg,244-avg
59-avg,109-avg,98-avg,245-avg
60-avg,113-avg,101-avg,252-avg
67-avg,116-avg,105-avg,274-avg
75-avg,143-avg,107-avg,277-avg
81-avg,147-avg,110-avg,287-avg
85-avg,167-avg,118-avg,289-avg
99-avg,176-avg,138-avg,294-avg
101-avg,179-avg,139-avg,296-avg
125-avg,258-avg,141-avg,4-std
137-avg,263-avg,144-avg,137-std
139-avg,225-range,159-avg,19-range
142-avg,5-avg,172-avg,271-range
158-avg,12-avg,182-avg,288-range
186-avg,18-avg,186-avg,54-slope
189-avg,20-avg,194-avg,1-avg
195-avg,23-avg,197-avg,3-avg
205-avg,27-avg,207-avg,4-avg
209-avg,30-avg,217-avg,5-avg
221-avg,34-avg,222-avg,6-avg
227-avg,37-avg,225-avg,8-avg
231-avg,38-avg,231-avg,14-avg
249-avg,40-avg,237-avg,17-avg
267-avg,56-avg,240-avg,21-avg
269-avg,63-avg,249-avg,22-avg
13-avg,66-avg,251-avg,25-avg
20-avg,68-avg,254-avg,26-avg
25-avg,69-avg,255-avg,28-avg
37-avg,72-avg,257-avg,31-avg
50-avg,76-avg,272-avg,32-avg
69-avg,82-avg,283-avg,34-avg
89-avg,100-avg,291-avg,35-avg
103-avg,110-avg,295-avg,36-avg
110-avg,111-avg,297-avg,45-avg
114-avg,117-avg,46-std,46-avg
115-avg,135-avg,49-std,48-avg
117-avg,139-avg,198-std,49-avg
118-avg,140-avg,23-range,56-avg
140-avg,141-avg,72-range,57-avg
156-avg,144-avg,108-range,58-avg
159-avg,149-avg,129-range,62-avg
167-avg,154-avg,277-range,66-avg
179-avg,156-avg,298-range,69-avg
184-avg,157-avg,1-avg,70-avg
197-avg,159-avg,3-avg,72-avg
206-avg,164-avg,8-avg,73-avg
208-avg,169-avg,11-avg,75-avg
214-avg,172-avg,20-avg,79-avg
215-avg,174-avg,24-avg,83-avg
220-avg,178-avg,25-avg,87-avg
229-avg,186-avg,26-avg,88-avg
237-avg,190-avg,32-avg,89-avg
239-avg,193-avg,37-avg,91-avg
257-avg,197-avg,38-avg,95-avg
272-avg,207-avg,43-avg,96-avg
274-avg,209-avg,44-avg,98-avg
277-avg,213-avg,47-avg,99-avg
286-avg,219-avg,48-avg,100-avg
16-avg,222-avg,53-avg,102-avg
30-avg,223-avg,58-avg,109-avg
36-avg,224-avg,62-avg,113-avg
42-avg,225-avg,64-avg,117-avg
52-avg,231-avg,66-avg,118-avg
54-avg,232-avg,67-avg,119-avg
55-avg,233-avg,71-avg,122-avg
61-avg,248-avg,72-avg,125-avg
62-avg,253-avg,78-avg,126-avg
66-avg,255-avg,83-avg,128-avg
88-avg,257-avg,88-avg,132-avg
96-avg,262-avg,90-avg,138-avg
100-avg,264-avg,93-avg,139-avg
102-avg,268-avg,94-avg,140-avg
116-avg,269-avg,96-avg,142-avg
122-avg,272-avg,106-avg,143-avg
124-avg,287-avg,108-avg,144-avg
126-avg,26-std,109-avg,149-avg
129-avg,68-std,112-avg,153-avg
132-avg,3-range,117-avg,156-avg
144-avg,76-range,119-avg,157-avg
146-avg,240-range,120-avg,162-avg
149-avg,278-range,121-avg,163-avg
155-avg,25-avg,122-avg,167-avg
165-avg,31-avg,126-avg,174-avg
168-avg,41-avg,128-avg,175-avg
172-avg,45-avg,133-avg,181-avg
177-avg,47-avg,135-avg,187-avg
178-avg,48-avg,136-avg,189-avg
187-avg,57-avg,140-avg,191-avg
194-avg,61-avg,142-avg,199-avg
216-avg,65-avg,146-avg,209-avg
222-avg,74-avg,147-avg,211-avg
240-avg,78-avg,148-avg,215-avg
258-avg,80-avg,150-avg,216-avg
261-avg,81-avg,153-avg,218-avg
266-avg,83-avg,156-avg,224-avg
281-avg,85-avg,158-avg,225-avg
299-avg,87-avg,163-avg,232-avg
18-avg,93-avg,165-avg,235-avg
29-avg,96-avg,169-avg,236-avg
32-avg,97-avg,174-avg,237-avg
35-avg,98-avg,175-avg,238-avg
38-avg,99-avg,179-avg,241-avg
51-avg,101-avg,180-avg,246-avg
58-avg,102-avg,185-avg,247-avg
64-avg,103-avg,192-avg,249-avg
72-avg,107-avg,202-avg,253-avg
77-avg,115-avg,206-avg,254-avg
78-avg,121-avg,209-avg,255-avg
80-avg,123-avg,210-avg,256-avg
83-avg,124-avg,211-avg,263-avg
86-avg,126-avg,213-avg,264-avg
92-avg,128-avg,214-avg,266-avg
93-avg,132-avg,215-avg,268-avg
94-avg,133-avg,216-avg,269-avg
97-avg,136-avg,220-avg,272-avg
98-avg,138-avg,229-avg,275-avg
107-avg,150-avg,232-avg,286-avg
109-avg,158-avg,233-avg,295-avg
128-avg,162-avg,234-avg,297-avg
134-avg,163-avg,235-avg,0-std
136-avg,175-avg,241-avg,14-std
143-avg,180-avg,242-avg,20-std
147-avg,184-avg,244-avg,50-std
161-avg,185-avg,245-avg,54-std
162-avg,189-avg,250-avg,56-std
163-avg,191-avg,253-avg,63-std
166-avg,194-avg,256-avg,81-std
170-avg,195-avg,262-avg,84-std
174-avg,198-avg,263-avg,90-std
185-avg,200-avg,264-avg,97-std
188-avg,204-avg,265-avg,102-std
192-avg,206-avg,267-avg,105-std
193-avg,212-avg,268-avg,149-std
202-avg,214-avg,271-avg,170-std
211-avg,216-avg,277-avg,182-std
219-avg,217-avg,278-avg,234-std
232-avg,218-avg,279-avg,244-std
233-avg,221-avg,282-avg,261-std
243-avg,226-avg,285-avg,264-std
250-avg,237-avg,287-avg,278-std
253-avg,240-avg,289-avg,18-range
254-avg,241-avg,290-avg,34-range
259-avg,252-avg,294-avg,52-range
264-avg,267-avg,296-avg,55-range
271-avg,271-avg,3-std,63-range
275-avg,273-avg,6-std,68-range
283-avg,276-avg,20-std,98-range
287-avg,281-avg,27-std,107-range
296-avg,288-avg,34-std,117-range
297-avg,289-avg,40-std,120-range
298-avg,292-avg,48-std,122-range
17-avg,293-avg,53-std,123-range
33-avg,299-avg,54-std,129-range
34-avg,5-std,63-std,137-range
49-avg,97-std,64-std,138-range
53-avg,115-std,89-std,152-range
65-avg,149-std,110-std,160-range
68-avg,163-std,130-std,163-range
70-avg,194-std,151-std,168-range
71-avg,204-std,167-std,178-range
87-avg,252-std,183-std,211-range
90-avg,1-range,185-std,223-range
95-avg,2-range,197-std,234-range
104-avg,6-range,201-std,237-range
105-avg,13-range,207-std,249-range
106-avg,19-range,208-std,8-slope
112-avg,28-range,227-std,11-slope
141-avg,30-range,239-std,2-avg
