01s,06s,12s,03s
5x-avg,17x-avg,hand_flag-avg,5x-avg
5y-avg,1y-avg,0y-avg,17x-avg
1y-avg,0y-range,17c-avg,0c-range
2y-avg,2x-avg,0x-avg,3y-range
17c-avg,15c-avg,2y-avg,17x-range
0y-avg,16y-avg,2c-avg,2y-avg
2c-avg,18c-avg,5c-avg,16x-avg
17y-avg,3y-range,7c-avg,18c-avg
2x-avg,5x-range,9c-avg,18c-std
16y-avg,hand_flag-avg,10y-avg,6x-range
18x-avg,0x-avg,15x-avg,18y-range
5c-avg,0y-avg,16y-avg,hand_flag-avg
18y-avg,0c-avg,18x-avg,1y-avg
16x-avg,1x-avg,18y-avg,5y-avg
1x-avg,1c-avg,0y-std,16y-avg
18c-avg,2y-avg,0c-std,17y-avg
0c-avg,2c-avg,1y-std,17c-avg
15c-avg,3x-avg,7x-std,15c-std
1c-avg,3y-avg,9x-std,1x-range
16c-avg,5c-avg,13c-std,2y-range
0x-avg,6c-avg,18c-std,5x-range
15x-avg,7x-avg,0c-range,18c-range
0y-range,7c-avg,1y-range,0x-avg
3x-avg,11y-avg,2x-range,0y-avg
7y-avg,12x-avg,2c-range,1x-avg
15y-avg,15x-avg,3y-range,2x-avg
16x-range,16c-avg,5x-range,5c-avg
17x-avg,17y-avg,6y-range,9x-avg
3y-avg,17c-avg,10y-range,15x-avg
1y-range,18x-avg,10c-range,18y-avg
2x-range,18y-avg,11y-range,0x-std
6y-avg,0x-std,16y-range,0y-std
7x-range,1x-std,16c-range,2y-std
17y-range,4x-std,17x-range,2c-std
6c-avg,4y-std,17c-range,7x-std
2y-range,4c-std,18y-range,17y-std
2c-range,7c-std,6x-slope,17c-std
5c-range,8x-std,20y-slope,18x-std
18x-range,8y-std,23y-slope,1y-range
0c-std,13c-std,0c-avg,2x-range
3y-range,15c-std,1x-avg,4y-range
15y-range,16x-std,1y-avg,8y-range
3c-avg,16y-std,1c-avg,8c-range
7c-avg,18c-std,2x-avg,10y-range
3x-range,23y-std,3x-avg,12x-range
6x-range,0c-range,3y-avg,12y-range
6y-range,1y-range,3c-avg,17c-range
6c-range,2y-range,4x-avg,2c-avg
7y-range,4y-range,4y-avg,4x-avg
16y-range,7y-range,4c-avg,4y-avg
17x-range,11y-range,5x-avg,6y-avg
17c-range,16x-range,5y-avg,6c-avg
18y-range,17x-range,6x-avg,7y-avg
hand_flag-avg,18x-range,6y-avg,7c-avg
1y-std,18c-range,6c-avg,8x-avg
5x-std,19x-slope,7x-avg,8y-avg
5x-range,23y-slope,7y-avg,9c-avg
15c-range,3c-avg,8x-avg,10x-avg
18c-range,4x-avg,8y-avg,10y-avg
4c-avg,4y-avg,8c-avg,10c-avg
6x-avg,4c-avg,9x-avg,12c-avg
5c-std,5x-avg,9y-avg,15c-avg
11c-std,5y-avg,10x-avg,16c-avg
0x-range,6x-avg,10c-avg,24y-avg
5y-range,6y-avg,11x-avg,0c-std
8y-range,7y-avg,11y-avg,1y-std
4x-avg,8x-avg,11c-avg,3c-std
0x-std,8y-avg,12x-avg,5c-std
1c-std,8c-avg,12y-avg,6x-std
2y-std,9x-avg,12c-avg,6c-std
2c-std,9y-avg,13x-avg,9x-std
17c-std,9c-avg,13y-avg,10c-std
0c-range,10x-avg,13c-avg,13c-std
1x-range,10y-avg,14x-avg,15y-std
4y-avg,10c-avg,14y-avg,17x-std
8y-avg,11x-avg,14c-avg,21y-std
3x-std,11c-avg,15y-avg,23x-std
7c-std,12y-avg,15c-avg,3c-range
14x-std,12c-avg,16x-avg,4c-range
18c-std,13x-avg,16c-avg,5y-range
1c-range,13y-avg,17x-avg,6y-range
4x-range,13c-avg,17y-avg,9y-range
7c-range,14x-avg,18c-avg,9c-range
9y-range,14y-avg,19x-avg,10x-range
10x-range,14c-avg,19y-avg,11y-range
12y-range,15y-avg,19c-avg,13c-range
7x-avg,16x-avg,20x-avg,14x-range
10y-avg,19x-avg,20y-avg,15c-range
0y-std,19y-avg,20c-avg,16c-range
2x-std,19c-avg,21x-avg,17y-range
4x-std,20x-avg,21y-avg,18x-range
14c-std,20y-avg,21c-avg,21c-range
16y-std,20c-avg,22x-avg,22y-range
17x-std,21x-avg,22y-avg,24y-range
18x-std,21y-avg,22c-avg,6x-slope
3c-range,21c-avg,23x-avg,9y-slope
4y-range,22x-avg,23y-avg,10c-slope
10y-range,22y-avg,23c-avg,20y-slope
0y-slope,22c-avg,24x-avg,24y-slope
8c-avg,23x-avg,24y-avg,0c-avg
9x-avg,23y-avg,24c-avg,1c-avg
12c-avg,23c-avg,hand_flag-std,3x-avg
1x-std,24x-avg,0x-std,3y-avg
4c-std,24y-avg,1x-std,3c-avg
6x-std,24c-avg,1c-std,4c-avg
12x-std,hand_flag-std,2x-std,6x-avg
13x-std,0y-std,2y-std,7x-avg
13y-std,0c-std,2c-std,8c-avg
13c-std,1y-std,3x-std,9y-avg
15c-std,1c-std,3y-std,11x-avg
17y-std,2x-std,3c-std,11y-avg
19y-std,2y-std,4x-std,11c-avg
22y-std,2c-std,4y-std,12x-avg
4c-range,3x-std,4c-std,12y-avg
8x-range,3y-std,5x-std,13x-avg
10c-range,3c-std,5y-std,13y-avg
12x-range,5x-std,5c-std,13c-avg
14x-range,5y-std,6x-std,14x-avg
22x-range,5c-std,6y-std,14y-avg
23c-range,6x-std,6c-std,14c-avg
