01s,06s,12s,03s
10-avg,10-avg,92-avg,10-avg
1-avg,60-avg,1-avg,4-avg
9-avg,83-avg,12-avg,33-avg
4-avg,0-avg,72-avg,101-avg
0-avg,1-avg,160-avg,1-avg
13-avg,4-avg,2-avg,44-avg
20-avg,39-avg,10-avg,155-avg
3-avg,49-avg,24-avg,1-range
11-avg,101-avg,33-avg,16-avg
24-avg,1-std,42-avg,72-avg
5-avg,7-avg,44-avg,92-avg
49-avg,13-avg,84-avg,160-avg
76-avg,33-avg,171-avg,7-avg
8-avg,44-avg,27-avg,14-avg
12-avg,46-avg,29-avg,24-avg
19-avg,72-avg,46-avg,49-avg
36-avg,92-avg,49-avg,87-avg
80-avg,96-avg,62-avg,91-avg
92-avg,122-avg,74-avg,0-avg
7-avg,130-avg,101-avg,2-avg
26-avg,160-avg,122-avg,9-avg
31-avg,182-avg,158-avg,11-avg
72-avg,2-avg,177-avg,18-avg
29-avg,3-avg,182-avg,31-avg
82-avg,11-avg,197-avg,43-avg
2-avg,12-avg,9-avg,50-avg
39-avg,17-avg,31-avg,60-avg
41-avg,18-avg,67-avg,61-avg
44-avg,20-avg,76-avg,104-avg
63-avg,24-avg,120-avg,105-avg
101-avg,26-avg,180-avg,120-avg
25-avg,27-avg,190-avg,165-avg
107-avg,31-avg,0-avg,5-avg
15-avg,42-avg,3-avg,12-avg
17-avg,55-avg,5-avg,15-avg
21-avg,57-avg,7-avg,17-avg
46-avg,61-avg,13-avg,20-avg
61-avg,64-avg,14-avg,21-avg
90-avg,74-avg,17-avg,29-avg
122-avg,88-avg,20-avg,32-avg
27-avg,89-avg,21-avg,39-avg
28-avg,91-avg,25-avg,42-avg
33-avg,94-avg,34-avg,48-avg
67-avg,105-avg,35-avg,63-avg
87-avg,107-avg,36-avg,64-avg
155-avg,108-avg,40-avg,67-avg
16-avg,120-avg,61-avg,76-avg
64-avg,124-avg,66-avg,77-avg
77-avg,138-avg,69-avg,83-avg
91-avg,165-avg,80-avg,94-avg
94-avg,178-avg,85-avg,99-avg
105-avg,180-avg,88-avg,133-avg
123-avg,9-std,91-avg,139-avg
152-avg,8-avg,94-avg,144-avg
182-avg,9-avg,96-avg,146-avg
18-avg,15-avg,107-avg,151-avg
