01s,06s,12s,03s
6-avg,0-avg,6-avg,14-avg
5-avg,14-avg,27-avg,31-avg
31-avg,5-avg,83-avg,11-avg
0-avg,11-avg,96-avg,0-avg
11-avg,31-avg,192-avg,83-avg
14-avg,41-avg,268-std,91-avg
37-avg,12-avg,1-avg,99-avg
12-avg,17-avg,2-avg,6-avg
7-avg,18-avg,3-avg,17-avg
9-avg,21-avg,5-avg,24-avg
17-avg,77-avg,10-avg,37-avg
23-avg,236-avg,11-avg,79-avg
51-avg,3-avg,12-avg,108-avg
78-avg,7-avg,14-avg,109-avg
91-avg,19-avg,19-avg,219-avg
1-avg,24-avg,23-avg,179-std
3-avg,25-avg,24-avg,268-std
15-avg,27-avg,28-avg,279-std
16-avg,34-avg,30-avg,3-avg
19-avg,37-avg,31-avg,5-avg
20-avg,42-avg,37-avg,7-avg
66-avg,56-avg,53-avg,18-avg
68-avg,83-avg,66-avg,25-avg
85-avg,1-avg,72-avg,26-avg
134-avg,10-avg,78-avg,34-avg
145-avg,15-avg,81-avg,39-avg
149-avg,22-avg,91-avg,44-avg
4-avg,28-avg,99-avg,46-avg
13-avg,30-avg,126-avg,51-avg
18-avg,33-avg,128-avg,52-avg
24-avg,39-avg,153-avg,78-avg
28-avg,48-avg,159-avg,84-avg
36-avg,51-avg,161-avg,97-avg
41-avg,62-avg,187-avg,101-avg
53-avg,66-avg,200-avg,105-avg
58-avg,73-avg,202-avg,115-avg
59-avg,78-avg,209-avg,130-avg
60-avg,93-avg,244-avg,137-avg
61-avg,96-avg,245-avg,142-avg
62-avg,103-avg,267-avg,144-avg
80-avg,114-avg,278-avg,149-avg
83-avg,115-avg,296-avg,161-avg
84-avg,123-avg,297-avg,183-avg
105-avg,127-avg,298-avg,192-avg
117-avg,136-avg,12-std,212-avg
118-avg,139-avg,269-std,232-avg
121-avg,143-avg,7-range,235-avg
146-avg,149-avg,155-range,285-avg
192-avg,156-avg,0-avg,58-std
199-avg,164-avg,4-avg,137-range
205-avg,184-avg,7-avg,1-avg
209-avg,189-avg,8-avg,2-avg
212-avg,193-avg,9-avg,4-avg
236-avg,207-avg,13-avg,8-avg
237-avg,211-avg,15-avg,9-avg
268-avg,268-avg,16-avg,10-avg
271-avg,2-avg,17-avg,12-avg
296-avg,4-avg,18-avg,13-avg
2-avg,6-avg,20-avg,15-avg
10-avg,8-avg,21-avg,16-avg
25-avg,9-avg,22-avg,19-avg
38-avg,13-avg,25-avg,20-avg
44-avg,20-avg,26-avg,21-avg
50-avg,23-avg,29-avg,22-avg
55-avg,26-avg,32-avg,23-avg
81-avg,29-avg,33-avg,27-avg
96-avg,32-avg,34-avg,28-avg
103-avg,36-avg,35-avg,29-avg
107-avg,40-avg,36-avg,30-avg
109-avg,44-avg,38-avg,32-avg
111-avg,55-avg,39-avg,33-avg
116-avg,57-avg,40-avg,35-avg
119-avg,58-avg,41-avg,36-avg
120-avg,59-avg,42-avg,38-avg
125-avg,68-avg,43-avg,40-avg
126-avg,75-avg,44-avg,41-avg
132-avg,80-avg,45-avg,42-avg
144-avg,82-avg,46-avg,43-avg
148-avg,84-avg,47-avg,45-avg
151-avg,87-avg,48-avg,47-avg
153-avg,92-avg,49-avg,48-avg
165-avg,100-avg,50-avg,49-avg
168-avg,102-avg,51-avg,50-avg
176-avg,105-avg,52-avg,53-avg
179-avg,121-avg,54-avg,54-avg
184-avg,131-avg,55-avg,55-avg
233-avg,134-avg,56-avg,56-avg
239-avg,138-avg,57-avg,57-avg
241-avg,141-avg,58-avg,58-avg
263-avg,144-avg,59-avg,59-avg
278-avg,147-avg,60-avg,60-avg
288-avg,153-avg,61-avg,61-avg
294-avg,154-avg,62-avg,62-avg
297-avg,160-avg,63-avg,63-avg
22-avg,161-avg,64-avg,64-avg
27-avg,171-avg,65-avg,65-avg
29-avg,172-avg,67-avg,66-avg
30-avg,181-avg,68-avg,67-avg
35-avg,186-avg,69-avg,68-avg
42-avg,201-avg,70-avg,69-avg
43-avg,210-avg,71-avg,70-avg
49-avg,212-avg,73-avg,71-avg
56-avg,216-avg,74-avg,72-avg
63-avg,225-avg,75-avg,73-avg
65-avg,227-avg,76-avg,74-avg
72-avg,232-avg,77-avg,75-avg
75-avg,233-avg,79-avg,76-avg
79-avg,242-avg,80-avg,77-avg
82-avg,249-avg,82-avg,80-avg
101-avg,258-avg,84-avg,81-avg
102-avg,273-avg,85-avg,82-avg
108-avg,274-avg,86-avg,85-avg
110-avg,276-avg,87-avg,86-avg
113-avg,277-avg,88-avg,87-avg
115-avg,284-avg,89-avg,88-avg
129-avg,296-avg,90-avg,89-avg
130-avg,298-avg,92-avg,90-avg
131-avg,5-range,93-avg,92-avg
139-avg,146-range,94-avg,93-avg
142-avg,54-avg,95-avg,94-avg
147-avg,63-avg,97-avg,95-avg
150-avg,65-avg,98-avg,96-avg
156-avg,67-avg,100-avg,98-avg
158-avg,72-avg,101-avg,100-avg
161-avg,76-avg,102-avg,102-avg
162-avg,79-avg,103-avg,103-avg
167-avg,85-avg,104-avg,104-avg
169-avg,90-avg,105-avg,106-avg
170-avg,91-avg,106-avg,107-avg
172-avg,95-avg,107-avg,110-avg
178-avg,99-avg,108-avg,111-avg
182-avg,101-avg,109-avg,112-avg
185-avg,107-avg,110-avg,113-avg
189-avg,109-avg,111-avg,114-avg
191-avg,110-avg,112-avg,116-avg
194-avg,111-avg,113-avg,117-avg
201-avg,113-avg,114-avg,118-avg
208-avg,116-avg,115-avg,119-avg
210-avg,118-avg,116-avg,120-avg
211-avg,122-avg,117-avg,121-avg
218-avg,126-avg,118-avg,122-avg
219-avg,128-avg,119-avg,123-avg
222-avg,129-avg,120-avg,124-avg
223-avg,130-avg,121-avg,125-avg
228-avg,137-avg,122-avg,126-avg
230-avg,145-avg,123-avg,127-avg
231-avg,150-avg,124-avg,128-avg
232-avg,157-avg,125-avg,129-avg
240-avg,163-avg,127-avg,131-avg
249-avg,165-avg,129-avg,132-avg
256-avg,166-avg,130-avg,133-avg
257-avg,168-avg,131-avg,134-avg
258-avg,170-avg,132-avg,135-avg
259-avg,176-avg,133-avg,136-avg
261-avg,177-avg,134-avg,138-avg
269-avg,178-avg,135-avg,139-avg
270-avg,180-avg,136-avg,140-avg
273-avg,182-avg,137-avg,141-avg
277-avg,183-avg,138-avg,143-avg
279-avg,190-avg,139-avg,145-avg
280-avg,196-avg,140-avg,146-avg
290-avg,199-avg,141-avg,147-avg
292-avg,203-avg,142-avg,148-avg
298-avg,205-avg,143-avg,150-avg
8-avg,209-avg,144-avg,151-avg
21-avg,213-avg,145-avg,152-avg
26-avg,214-avg,146-avg,153-avg
32-avg,217-avg,147-avg,154-avg
33-avg,219-avg,148-avg,155-avg
34-avg,220-avg,149-avg,156-avg
39-avg,221-avg,150-avg,157-avg
40-avg,224-avg,151-avg,158-avg
46-avg,229-avg,152-avg,159-avg
47-avg,231-avg,154-avg,160-avg
48-avg,235-avg,155-avg,162-avg
52-avg,239-avg,156-avg,163-avg
54-avg,243-avg,157-avg,164-avg
57-avg,256-avg,158-avg,165-avg
64-avg,260-avg,160-avg,166-avg
67-avg,263-avg,162-avg,167-avg
69-avg,269-avg,163-avg,168-avg
71-avg,270-avg,164-avg,169-avg
73-avg,272-avg,165-avg,170-avg
74-avg,279-avg,166-avg,171-avg
76-avg,280-avg,167-avg,172-avg
86-avg,286-avg,168-avg,173-avg
87-avg,287-avg,169-avg,174-avg
88-avg,294-avg,170-avg,175-avg
92-avg,297-avg,171-avg,176-avg
93-avg,5-std,172-avg,177-avg
94-avg,14-std,173-avg,178-avg
97-avg,39-std,174-avg,179-avg
98-avg,49-std,175-avg,180-avg
100-avg,64-std,176-avg,181-avg
104-avg,69-std,177-avg,182-avg
106-avg,85-std,178-avg,184-avg
112-avg,116-std,179-avg,185-avg
122-avg,197-std,180-avg,186-avg
123-avg,209-std,181-avg,187-avg
124-avg,221-std,182-avg,188-avg
127-avg,244-std,183-avg,189-avg
128-avg,279-std,184-avg,190-avg
133-avg,0-range,185-avg,191-avg
137-avg,13-range,186-avg,193-avg
138-avg,15-range,188-avg,194-avg
152-avg,19-range,189-avg,195-avg
155-avg,50-range,190-avg,196-avg
157-avg,65-range,191-avg,197-avg
159-avg,70-range,193-avg,198-avg
171-avg,71-range,194-avg,199-avg
173-avg,79-range,195-avg,200-avg
177-avg,117-range,196-avg,201-avg
181-avg,123-range,197-avg,202-avg
183-avg,133-range,198-avg,203-avg
