01s,06s,12s,03s
2x-avg,15y-avg,3y-range,18y-avg
2y-avg,16y-avg,17c-avg,17c-avg
18y-avg,18c-avg,0x-avg,0y-avg
3y-avg,5y-avg,1x-avg,0c-avg
5y-avg,5c-avg,1y-avg,3y-range
5c-avg,18x-avg,2x-avg,8y-range
16y-avg,18y-avg,2c-avg,18y-range
9y-range,18x-range,16x-avg,0x-avg
1c-avg,1x-avg,18y-avg,1y-avg
6y-avg,1y-avg,1y-range,1c-avg
16x-avg,1c-avg,3c-range,2x-avg
17c-avg,2y-avg,5x-range,2y-avg
18x-avg,5x-avg,16c-range,15c-avg
22y-std,6y-avg,18y-range,17x-avg
0y-range,7c-avg,0y-avg,2y-std
7y-range,10x-avg,0c-avg,6c-std
0x-avg,15x-avg,2y-avg,17x-std
0y-avg,15c-avg,5y-avg,17y-std
0c-avg,16x-avg,5c-avg,17c-std
1x-avg,16c-avg,17y-avg,2x-range
1y-avg,17c-avg,18x-avg,4y-range
2c-avg,3x-std,18c-avg,5y-range
3c-avg,4c-std,2x-std,9x-range
5x-avg,6x-std,5x-std,1x-avg
15y-avg,6y-std,1x-range,2c-avg
16c-avg,7x-std,4c-range,3x-avg
18c-avg,8y-std,5y-range,3c-avg
11x-std,0y-range,6x-range,5x-avg
18c-std,1x-range,1c-avg,5y-avg
0x-range,1y-range,3c-avg,6x-avg
17x-range,3y-range,5x-avg,12y-avg
18x-range,4x-range,15x-avg,15x-avg
hand_flag-avg,17x-range,15y-avg,16x-avg
3x-avg,20y-range,15c-avg,16c-avg
4x-avg,hand_flag-avg,16y-avg,18x-avg
4y-avg,0x-avg,17x-avg,18c-avg
4c-avg,0y-avg,3c-std,0c-std
6x-avg,0c-avg,6x-std,1x-std
6c-avg,2x-avg,7x-std,1c-std
7x-avg,2c-avg,9x-std,5x-std
7y-avg,3x-avg,16x-std,5c-std
7c-avg,3y-avg,17x-std,6x-std
8x-avg,3c-avg,0c-range,7x-std
8y-avg,4x-avg,1c-range,7c-std
8c-avg,4y-avg,2y-range,8y-std
9x-avg,4c-avg,4y-range,9x-std
9y-avg,6x-avg,6y-range,12x-std
9c-avg,6c-avg,13x-range,13x-std
10x-avg,7x-avg,20x-range,15c-std
10y-avg,7y-avg,hand_flag-avg,18y-std
10c-avg,8x-avg,3y-avg,18c-std
11x-avg,8y-avg,6x-avg,24c-std
11y-avg,8c-avg,6y-avg,1c-range
11c-avg,9x-avg,6c-avg,3c-range
12x-avg,9y-avg,7x-avg,5x-range
12y-avg,9c-avg,7c-avg,5c-range
12c-avg,10y-avg,8x-avg,7y-range
13x-avg,10c-avg,9x-avg,9y-range
13y-avg,11x-avg,16c-avg,12y-range
13c-avg,11y-avg,20x-avg,13x-range
14x-avg,11c-avg,21c-avg,13y-range
14y-avg,12x-avg,0y-std,13c-range
14c-avg,12y-avg,0c-std,15x-range
15x-avg,12c-avg,1x-std,16y-range
15c-avg,13x-avg,2y-std,17c-range
17x-avg,13y-avg,3x-std,18x-range
17y-avg,13c-avg,3y-std,20x-range
19x-avg,14x-avg,4y-std,21x-range
19y-avg,14y-avg,5y-std,21c-range
19c-avg,14c-avg,7c-std,24y-range
20x-avg,17x-avg,10x-std,11c-slope
20y-avg,17y-avg,10y-std,hand_flag-avg
20c-avg,19x-avg,13x-std,3y-avg
21x-avg,19y-avg,13y-std,4x-avg
21y-avg,19c-avg,14x-std,4y-avg
21c-avg,20x-avg,16y-std,4c-avg
22x-avg,20y-avg,17c-std,5c-avg
22y-avg,20c-avg,18x-std,6y-avg
22c-avg,21x-avg,18y-std,6c-avg
