01s,06s,12s,03s
13-avg,10-avg,0-avg,10-avg
10-avg,25-avg,53-avg,72-avg
1-avg,37-avg,146-avg,1-avg
7-avg,4-avg,1-avg,4-avg
15-avg,41-avg,2-avg,15-avg
4-avg,46-avg,57-avg,33-avg
11-avg,87-avg,188-avg,37-avg
22-avg,120-avg,3-avg,57-avg
9-avg,7-avg,22-avg,111-avg
0-avg,15-avg,24-avg,145-avg
2-avg,22-avg,33-avg,152-avg
20-avg,30-avg,36-avg,3-avg
23-avg,47-avg,46-avg,7-avg
21-avg,65-avg,48-avg,8-avg
24-avg,72-avg,59-avg,9-avg
46-avg,188-avg,76-avg,13-avg
171-avg,5-avg,111-avg,22-avg
5-avg,9-avg,116-avg,24-avg
8-avg,13-avg,138-avg,25-avg
12-avg,16-avg,6-avg,30-avg
14-avg,19-avg,9-avg,38-avg
29-avg,20-avg,10-avg,41-avg
37-avg,29-avg,11-avg,46-avg
41-avg,40-avg,13-avg,47-avg
31-avg,55-avg,26-avg,55-avg
33-avg,58-avg,27-avg,59-avg
38-avg,63-avg,28-avg,79-avg
39-avg,67-avg,30-avg,80-avg
55-avg,81-avg,35-avg,95-avg
57-avg,92-avg,37-avg,120-avg
59-avg,104-avg,41-avg,121-avg
72-avg,107-avg,49-avg,141-avg
95-avg,115-avg,55-avg,142-avg
120-avg,138-avg,60-avg,143-avg
146-avg,146-avg,61-avg,146-avg
19-avg,152-avg,72-avg,188-avg
28-avg,174-avg,75-avg,0-avg
30-avg,0-range,93-avg,2-avg
35-avg,2-avg,97-avg,11-avg
44-avg,3-avg,100-avg,12-avg
47-avg,6-avg,120-avg,14-avg
74-avg,8-avg,136-avg,16-avg
85-avg,23-avg,139-avg,17-avg
121-avg,24-avg,142-avg,19-avg
188-avg,32-avg,150-avg,20-avg
25-avg,35-avg,171-avg,21-avg
34-avg,38-avg,179-avg,23-avg
42-avg,39-avg,4-avg,31-avg
67-avg,42-avg,12-avg,32-avg
102-avg,48-avg,14-avg,35-avg
143-avg,49-avg,15-avg,36-avg
1-std,57-avg,16-avg,39-avg
3-avg,59-avg,18-avg,42-avg
6-avg,61-avg,19-avg,44-avg
32-avg,66-avg,20-avg,48-avg
36-avg,78-avg,23-avg,54-avg
45-avg,80-avg,31-avg,58-avg
48-avg,89-avg,43-avg,60-avg
49-avg,95-avg,51-avg,61-avg
54-avg,99-avg,65-avg,62-avg
